filing_uuid,general_issue_code
e9856609-194d-4ed7-b1bd-6d2cb98f7d74,TAX
80cf91e4-afb1-417c-ae67-d0c2a58e37d8,BUD
694f8cb5-4391-4dd0-b7e0-80e1cb7b73be,TRD
3306b109-334a-4f14-a2f4-1772482a512f,HCR
32debcd3-7ff9-4717-becb-1e9b7c73c87f,HOU
06c29c84-250f-478b-872a-2f647d9dc044,DEF
cb3ab260-a049-43e4-9ef6-a3f8ea6b3df5,TEC
cdf86d62-c668-401a-a3ae-b52068eb883b,TRA
e5d0587c-0861-4392-8258-16b97da6e765,BUD
50e7680d-1466-4cbd-a446-358d50a5fbef,EDU
0e36cf84-df74-4cc1-83ce-48d0d3e9142d,BAN
77202f16-0dd1-48db-8793-c02f71a343af,BUD
1469bf24-736d-49a8-9565-c48d81df0240,TAX
a41139ff-01b4-4e65-9052-e9493054d3bc,INS
bb89a193-0dcc-4cca-ae4a-820d2c025836,AUT
631bf156-87cb-41d7-9efb-fab25a3a5a24,RRR
e83e8512-bb25-4c16-b7a4-7e47edfa8a25,ENV
54d05d06-e9dc-4e30-ac52-6f1aa243dbe3,TRA
0fa252d9-9f6d-4bfd-a9ef-26501b190f98,BUD
8e8554e0-1904-4809-882e-d36ccf2ab204,MMM
caba78a0-40ef-454c-adf0-c742a2a120f2,FAM
35145114-bd58-4983-b099-5b50fb08a37f,MMM
9ea3d879-e19e-4508-9129-787c4f164c6e,TRD
da026a9b-c3c8-4355-9425-7a9eaa1e88a1,DEF
f17ae504-1879-41a9-ae7c-af3ed18b4865,MMM
7d77d02c-cfca-4482-b5e4-59d87d4c0628,HOU
6cf886a1-4b7b-4f1b-aff5-c7bf772efe90,MMM
6d94b53a-039b-4886-bbb8-cd1d2d635bd0,DIS
46bfc11e-00bc-464a-a71f-918754d25147,ENG
2d28150e-5eef-40cd-8fdf-f0da7618f77c,FIN
4ebc39ff-4ea9-47c3-8476-2e00ac51a445,ENG
25dacf41-6908-4520-a234-5d026f756ad6,DEF
b6e666f4-de75-4724-bfcc-f022bdaaea24,BUD
7736ed13-e40e-4760-933d-8c9b7d1c03ff,AGR
ce155434-73d8-4576-b792-f8ea83de2591,HCR
2d764c8f-9384-4559-ae48-0d25a00f767f,EDU
14c061c6-5d23-41b6-b28c-381442cc044b,RRR
d201c8a3-e7a8-4e62-b1ca-fbb34932a6fe,TAX
6ba106c7-698f-4097-8c0e-c38908c04ecf,CAW
266451c6-9d2d-4096-9ff7-7f8cfaf33750,SCI
ae817a3d-98c4-4cc3-b68a-b7053c8af3c5,TRA
